sku,shopify_status,inventory_quantity,variant_id,product_id,product_handle,product_title,sibling_variant_count,siblings_still_in_laura
1903-030,archived,0,47931591524606,9158553305342,1903-030,מדף קיר עץ עם תומכים עץ,1,0
1500-214,archived,0,47931554463998,9158543114494,1500-214,משטח החתלה ג'קארד בז',1,0
1500-216,archived,0,47931554922750,9158543245566,1500-216,משטח החתלה ג'קארד ורוד,1,0
1500-274,active,10,47931557216510,9158543868158,1500-274,משטח החתלה ג'רזי בז' mountain,1,0
1500-293,active,0,47931562000638,9158545113342,1500-293,משטח החתלה ג'רזי בז' עם נחשוש קלוע,1,0
1500-297,archived,0,47931564065022,9158545506558,1500-297,משטח החתלה סוליד אופוואיט,1,0
1500-272,archived,0,47931556790526,9158543769854,1500-272,משטח החתלה קווילטד חלק לבן,1,0
1100-129,archived,0,47931519172862,9158530597118,1100-129,סדין בודד למיטה ניוד חלק,1,0
1102-080,archived,0,47931529756926,9158535610622,1102-080,סדין לול בודד ג'רזי ורוד,1,0
1100-112,archived,0,47931519140094,9158530564350,1100-112,סדין מיטה בודד ג'רזי ורוד,1,0
1103-133,active,0,47931531034878,9158536790270,1103-133,סדין עגלה בודד ג'רזי בג' mountain,1,0
1103-132,active,0,47931530969342,9158536724734,1103-132,סדין עגלה חלק בודד אבן mountain,1,0
1101-212,active,0,47931528872190,9158534791422,1101-212,סדין עריסה בודד ג'רזי בג' mountain,1,0
1101-211,active,0,47931528577278,9158534594814,1101-211,סדין עריסה חלק בודד אבן mountain,1,0
2805-118,active,9,47931653357822,9158579912958,2805-118,סט בגד גוף ורגליות צבעי מים חום,1,0
1002-129,archived,0,47931516190974,9158528598270,1002-129,סט למיטת מטר אפרוחים מודפס,1,0
1002-127,archived,0,47931516125438,9158528532734,1002-127,סט למיטת מטר באני מודפס,1,0
1002-128,archived,0,47931516158206,9158528565502,1002-128,סט למיטת מטר פינגווין מודפס,1,0
1000-328,archived,0,47931514847486,9158527353086,1000-328,סט למיטת תינוק Rainbow,1,0
1000-320,archived,0,47931514814718,9158527320318,1000-320,סט למיטת תינוק Space,1,0
1000-276,archived,0,47931512881406,9158526730494,1000-276,סט מיטה אביב,1,0
1000-275,archived,0,47931512848638,9158526697726,1000-275,סט מיטה חיות,1,0
1000-277,archived,0,47931512914174,9158526763262,1000-277,סט מיטה טבע,1,0
1000-262,archived,0,47931512652030,9158526533886,1000-262,סט מיטה מודפס ציפור,1,0
1003-163,active,0,47931518025982,9158529876222,1003-163,סט מצעים ללול Elephant,1,0
1003-164,active,0,47931518189822,9158529974526,1003-164,סט מצעים ללול Hot Air Balloon,1,0
1003-161,active,0,47931517567230,9158529712382,1003-161,סט מצעים ללול Spring,1,0
1003-162,active,0,47931517894910,9158529777918,1003-162,סט מצעים ללול Teddy,1,0
1002-202,active,10,47931517337854,9158529483006,1002-202,סט מצעים למיטת מטר Elephant,1,0
1002-203,active,0,47931517370622,9158529515774,1002-203,סט מצעים למיטת מטר Hot Air Balloon,1,0
1002-200,active,0,47931517174014,9158529319166,1002-200,סט מצעים למיטת מטר Spring,1,0
1002-201,active,0,47931517305086,9158529450238,1002-201,סט מצעים למיטת מטר Teddy,1,0
1002-130,archived,0,47931516256510,9158528663806,1002-130,סט מצעים למיטת מטר גיאומטרי,1,0
1002-138,archived,0,47931516518654,9158528729342,1002-138,סט מצעים למיטת מטר מיוזיק,1,0
1004-171,active,0,47931518386430,9158530138366,1004-171,סט מצעים למיטת מעבר Elephant,1,0
1004-172,active,0,47931518419198,9158530171134,1004-172,סט מצעים למיטת מעבר Hot Air Balloon,1,0
1004-169,active,0,47931518320894,9158530072830,1004-169,סט מצעים למיטת מעבר Spring,1,0
1004-170,active,0,47931518353662,9158530105598,1004-170,סט מצעים למיטת מעבר Teddy,1,0
1004-153,active,10,47931518255358,9158530007294,1004-153,סט מצעים למיטת מעבר עלים כחולים,1,0
1000-332,active,0,47931514978558,9158527484158,1000-332,סט מצעים למיטת תינוק Hot Air Balloon,1,0
1000-311,active,0,47931514323198,9158526992638,1000-311,סט מצעים למיטת תינוק Sea Life,1,0
1000-329,active,0,47931514880254,9158527385854,1000-329,סט מצעים למיטת תינוק Spring,1,0
1000-330,active,0,47931514913022,9158527418622,1000-330,סט מצעים למיטת תינוק Teddy,1,0
1000-334,active,0,47931515044094,9158527549694,1000-334,סט מצעים למיטת תינוק TOYS,1,0
1000-230,archived,0,47931512455422,9158526337278,1000-230,סט מצעים למיטת תינוק אפרוחים מודפס,1,0
1000-228,archived,0,47931512357118,9158526238974,1000-228,סט מצעים למיטת תינוק באני מודפס,1,0
1000-234,archived,0,47931512488190,9158526370046,1000-234,סט מצעים למיטת תינוק טייגר חום,1,0
